id,business_name,business_address,city,state,zipcode,zipcode_full,basic_category,category_primary,category_alternate,taxonomy_primary,confidence,operating_status,name_common,brand_name_primary,websites,emails,socials,phone_num,latitude,longitude,search_latlog,search_distance_miles,source_examples
c214391b-a7da-4439-998b-e8abeff7639d,Rimrock Mall,300 South 24th Street West,,,59102,59102,shopping_mall,shopping_center,"shopping,clothing_store",shopping_mall,0.9661754965782166,open,,,https://www.rimrockmall.com/,,https://www.facebook.com/308901930824,+14066563398,45.678360745353,-108.40175628662,"45.7833,-108.5007",10,billings_mt
4cc793ed-91b3-4f21-bbd5-3b560b3915b4,AAFES Food Court,5800 Westover Ave,Anchorage,AK,99506,99506-1603,shopping_mall,shopping_center,"shopping,eat_and_drink",shopping_mall,0.5620558261871338,open,,,,,https://www.facebook.com/189843164368088,+19077534420,61.23469335,-149.76576454,"61.2181,-149.9003",10,anchorage_ak
af010212-f17b-46b6-812b-739b6fd216e8,Alaska Dollar Market & Beauty Supply,349 Muldoon Rd,Anchorage,AK,99504,99504,shopping_mall,shopping_center,"beauty_product_supplier,business_equipment_and_supply,business_to_business,retail",shopping_mall,0.77,open,,,,,,9073330660,61.21944,-149.732712,"61.2181,-149.9003",10,anchorage_ak
f98fa2b2-ad36-442c-a6ac-6d26410a0817,AlaskanMegaMall,3624 Debarr Rd,Anchorage,AK,99508,99508-2008,shopping_mall,shopping_center,"retail,advertising_agency",shopping_mall,0.6820352673530579,open,,,http://AlaskanMegaMall.Com/,alaskanmegamall@yahoo.com,https://www.facebook.com/186227621417533,+19073175016,61.20975,-149.81289,"61.2181,-149.9003",10,anchorage_ak
80012e9a-ca99-4018-ab4a-ece3338326a9,Anchorage 5th Avenue Mall,320 W 5th Ave,Anchorage,AK,99501,99501-2311,shopping_mall,shopping_center,shopping,shopping_mall,0.9886998534202576,open,,Bath & Body Works,https://www.simon.com/mall/anchorage-5th-avenue-mall,mariah.mendoza@simon.com,https://www.facebook.com/104460989598193,+19072585535,61.21700019,-149.88829992,"61.2181,-149.9003",10,anchorage_ak
dfa37f01-9244-49f4-bbdc-a7ef27245462,Diamond Mall,,Anchorage,AK,,,shopping_mall,shopping_center,"cinema,jewelry_store",shopping_mall,0.8223501443862915,open,,,http://www.dimondcenter.com,,https://www.facebook.com/210636275628891,,61.21740275,-149.85803760864,"61.2181,-149.9003",10,anchorage_ak
4027a0a7-b74d-43a6-b15f-c86c116b4c23,Dimond Center,800 E Dimond Blvd,Anchorage,AK,99515,99515-1054,shopping_mall,shopping_center,,shopping_mall,0.9961740374565125,open,,Bath & Body Works,http://www.dimondcenter.com,info@dimondcenter.com,https://www.facebook.com/284160239468,+19073442581,61.14357563,-149.86884163,"61.2181,-149.9003",10,anchorage_ak
c815774c-230b-4d91-bcdd-8680551be8a5,Glenn Square,3090 Mountain View Dr,Anchorage,AK,99501,99501-3100,shopping_mall,shopping_center,shopping,shopping_mall,0.8251563310623169,open,,,,,https://www.facebook.com/1485162048433550,+19072798068,61.22031003,-149.8187202,"61.2181,-149.9003",10,anchorage_ak
014dc081-cb7f-4af3-aa63-9397426caff1,"Grand Northern Mall, Anchorage, Alaska",,Anchorage,AK,,,shopping_mall,shopping_center,shopping,shopping_mall,0.6516852378845215,open,,,,,https://www.facebook.com/125553327594388,,61.141767913927,-149.86030926046,"61.2181,-149.9003",10,anchorage_ak
5b2cebd0-3327-470f-9565-474fd182c4c8,Huffman Square,1120 Huffman Rd,Anchorage,AK,99515,99515-3516,shopping_mall,shopping_center,"cinema,shopping",shopping_mall,0.6079864501953125,open,,,,,https://www.facebook.com/1476375196023079,+19074448222,61.10855392,-149.86134503,"61.2181,-149.9003",10,anchorage_ak
