id,business_name,business_address,city,state,zipcode,basic_category,category_primary,category_alternate,taxonomy_primary,confidence,operating_status,brand_name_primary,websites,latitude,longitude,search_latlog,search_distance_miles,source_batch_hint
8be3da3f-1255-4acf-a66d-aee2e96cd1b9,Doxology Coffee Co.,1425 SE Bridge Rd,Hobe Sound,,33455,coffee_shop,coffee_shop,"caterer,smoothie_juice_bar",coffee_shop,0.5808194279670715,open,,https://gofund.me/836474a7,27.0442313,-80.23732285,"27.425393185338784, -80.3257834278649",50,batch_1_fort_pierce_fl_50mi
8a3b4645-eced-4fe7-a222-b8a8178d8e71,7 Brew Coffee,9207 Highway 119,Alabaster,AL,35007,coffee_shop,coffee_shop,,coffee_shop,0.9879518151283264,open,,https://7brew.com/,33.2135262,-86.8275417,"32.93451652328171, -85.93562039646821",75,batch_3_alexander_city_al_75mi
1dde9689-9f4f-4438-a27f-779a20732354,Alabaster Nutrition,507 1st St SW,Alabaster,AL,35007,non_alcoholic_beverage_venue,tea_room,"smoothie_juice_bar,cafe",tea_room,0.9938056468963623,open,,,33.24023995,-86.8196666,"32.93451652328171, -85.93562039646821",75,batch_3_alexander_city_al_75mi
78435757-5327-4ad6-8f75-109265edfcee,Boho Tea Bar,462 1st St SW,Alabaster,AL,35007,non_alcoholic_beverage_venue,tea_room,"bubble_tea,restaurant",tea_room,0.9427152872085571,open,,https://calendly.com/thejadetable/boho-tea?month=2026-04,33.23994439,-86.81903716,"32.93451652328171, -85.93562039646821",75,batch_3_alexander_city_al_75mi
c049e6c4-c6af-4f87-b447-996936c843e2,Starbucks,345 S Colonial Dr,Alabaster,AL,35007,coffee_shop,coffee_shop,restaurant,coffee_shop,0.992800235748291,open,,https://www.starbucks.com/store-locator/store/7538/,33.22396949,-86.80182536,"32.93451652328171, -85.93562039646821",75,batch_3_alexander_city_al_75mi
b714f088-cc6f-40e2-86fb-01f080650f9e,Starbucks,250 S Colonial Dr,Alabaster,AL,35007,coffee_shop,coffee_shop,"cafe,bakery",coffee_shop,0.9947139620780945,open,Starbucks,https://www.starbucks.com/store-locator/store/12594,33.22455494,-86.80420282,"32.93451652328171, -85.93562039646821",75,batch_3_alexander_city_al_75mi
59272899-812e-4285-a2be-750334ecb3d4,Travelin' Tom's Coffee of Hoover,"Sepco, 123 Airpark Industrial Rd",Alabaster,AL,35007,coffee_shop,coffee_shop,"food_truck,desserts",coffee_shop,0.545900821685791,open,Travelin' Tom's Coffee,https://travelintomscoffee.com/local-site/travelin-toms-coffee-of-hoover/?utm_source=fb&utm_medium=organic&utm_campaign=listing,33.193415,-86.794377,"32.93451652328171, -85.93562039646821",75,batch_3_alexander_city_al_75mi
0504101a-9fd0-4234-a836-9e35e8438b90,4141 Hwy 280,4141 Hwy 280,Alexander City,AL,35010,coffee_shop,coffee_shop,"cafe,coffee_roastery",coffee_shop,0.4,open,Scooter's Coffee,,32.92267074,-85.95929283,"32.93451652328171, -85.93562039646821",75,batch_3_alexander_city_al_75mi
3940d55c-e8d0-412f-9d79-ecf4f2697587,Mill House Coffee,3316 Highway 280,Alexander City,AL,35010,coffee_shop,coffee_shop,cafe,coffee_shop,0.8421820402145386,open,,,32.93087787,-85.96982871,"32.93451652328171, -85.93562039646821",75,batch_3_alexander_city_al_75mi
758f4813-d901-404a-bf9f-447eac805b0e,Scooter's Coffee,4141 Highway 280,Alexander City,AL,35010,coffee_shop,coffee_shop,"cafe,bakery",coffee_shop,0.9606910347938538,open,Scooter's Coffee,https://scooterscoffee.com/,32.92310924,-85.95931933,"32.93451652328171, -85.93562039646821",75,batch_3_alexander_city_al_75mi
